PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"10624553","Decreased serotonin transporter binding in unaffected relatives of manic depressive patients","Leboyer M, Quintin P, Manivet P, Varoquaux O, Allilaire JF, Launay JM.","Biol Psychiatry. 1999 Dec 15;46(12):1703-6. doi: 10.1016/s0006-3223(99)00178-x.","Leboyer M","Biol Psychiatry","1999","2000/01/07","","","10.1016/s0006-3223(99)00178-x"
"10683861","Serotonin transporter gene polymorphism and antidepressant response","Kim DK, Lim SW, Lee S, Sohn SE, Kim S, Hahn CG, Carroll BJ.","Neuroreport. 2000 Jan 17;11(1):215-9. doi: 10.1097/00001756-200001170-00042.","Kim DK","Neuroreport","2000","2000/02/23","","","10.1097/00001756-200001170-00042"
"10715354","[123I]-beta-CIT SPECT imaging shows reduced brain serotonin transporter availability in drug-free depressed patients with seasonal affective disorder","Willeit M, Praschak-Rieder N, Neumeister A, Pirker W, Asenbaum S, Vitouch O, Tauscher J, Hilger E, Stastny J, Brücke T, Kasper S.","Biol Psychiatry. 2000 Mar 15;47(6):482-9. doi: 10.1016/s0006-3223(99)00293-0.","Willeit M","Biol Psychiatry","2000","2000/03/15","","","10.1016/s0006-3223(99)00293-0"
"10893498","Association between the serotonin transporter promoter polymorphism and personality traits in a primarily female population sample","Greenberg BD, Li Q, Lucas FR, Hu S, Sirota LA, Benjamin J, Lesch KP, Hamer D, Murphy DL.","Am J Med Genet. 2000 Apr 3;96(2):202-16. doi: 10.1002/(sici)1096-8628(20000403)96:2<202::aid-ajmg16>3.0.co;2-j.","Greenberg BD","Am J Med Genet","2000","2000/07/14","","","10.1002/(sici)1096-8628(20000403)96:2<202::aid-ajmg16>3.0.co;2-j"
"10771175","Serotonin transporter (5-HTT) gene polymorphism in psychogeriatric patients","Zill P, Padberg F, de Jonge S, Hampel H, Bürger K, Stübner S, Boetsch T, Jürgen Möller H, Ackenheil M, Bondy B.","Neurosci Lett. 2000 Apr 21;284(1-2):113-5. doi: 10.1016/s0304-3940(00)00994-0.","Zill P","Neurosci Lett","2000","2000/04/20","","","10.1016/s0304-3940(00)00994-0"
"10920459","A serotonin transporter gene promoter polymorphism (5-HTTLPR) and prefrontal cortical binding in major depression and suicide","Mann JJ, Huang YY, Underwood MD, Kassir SA, Oppenheim S, Kelly TM, Dwork AJ, Arango V.","Arch Gen Psychiatry. 2000 Aug;57(8):729-38. doi: 10.1001/archpsyc.57.8.729.","Mann JJ","Arch Gen Psychiatry","2000","2000/08/02","","","10.1001/archpsyc.57.8.729"
"11256582","Serotonin transporter polymorphism and response to SSRIs in major depression and relevance to anxiety disorders and substance abuse","Weizman A, Weizman R.","Pharmacogenomics. 2000 Aug;1(3):335-41. doi: 10.1517/14622416.1.3.335.","Weizman A","Pharmacogenomics","2000","2001/03/21","","","10.1517/14622416.1.3.335"
"11059794","5-HT-HPA interactions in two models of transgenic mice relevant to major depression","Lanfumey L, Mannoury La Cour C, Froger N, Hamon M.","Neurochem Res. 2000 Oct;25(9-10):1199-206. doi: 10.1023/a:1007683810230.","Lanfumey L","Neurochem Res","2000","2000/11/04","","","10.1023/a:1007683810230"
"12083964","Polymorphism of the serotonin transporter: implications for the use of selective serotonin reuptake inhibitors","Lotrich FE, Pollock BG, Ferrell RE.","Am J Pharmacogenomics. 2001;1(3):153-64. doi: 10.2165/00129785-200101030-00001.","Lotrich FE","Am J Pharmacogenomics","2001","2002/06/27","","","10.2165/00129785-200101030-00001"
"11213357","Modulation of serotonin transporter function by interleukin-4","Mössner R, Daniel S, Schmitt A, Albert D, Lesch KP.","Life Sci. 2001 Jan 12;68(8):873-80. doi: 10.1016/s0024-3205(00)00992-9.","Mössner R","Life Sci","2001","2001/02/24","","","10.1016/s0024-3205(00)00992-9"
"11235862","Electroconvulsive shock regulates serotonin transporter mRNA expression in rat raphe nucleus","Shen H, Numachi Y, Yoshida S, Toda S, Awata S, Matsuoka H, Sato M.","Psychiatry Clin Neurosci. 2001 Feb;55(1):75-7. doi: 10.1046/j.1440-1819.2001.00788.x.","Shen H","Psychiatry Clin Neurosci","2001","2001/03/10","","","10.1046/j.1440-1819.2001.00788.x"
"11317229","Functional polymorphism within the promotor of the serotonin transporter gene is associated with severe hyperkinetic disorders","Seeger G, Schloss P, Schmidt MH.","Mol Psychiatry. 2001 Mar;6(2):235-8. doi: 10.1038/sj.mp.4000820.","Seeger G","Mol Psychiatry","2001","2001/04/24","","","10.1038/sj.mp.4000820"
"11270909","Fluvoxamine treatment of mixed anxiety and depression: evidence for serotonergically mediated anxiolysis","Rausch JL, Hobby HM, Shendarkar N, Johnson ME, Li J.","J Clin Psychopharmacol. 2001 Apr;21(2):139-42. doi: 10.1097/00004714-200104000-00004.","Rausch JL","J Clin Psychopharmacol","2001","2001/03/29","","","10.1097/00004714-200104000-00004"
"11386982","The role of serotonin transporter protein gene in antidepressant-induced mania in bipolar disorder: preliminary findings","Mundo E, Walker M, Cate T, Macciardi F, Kennedy JL.","Arch Gen Psychiatry. 2001 Jun;58(6):539-44. doi: 10.1001/archpsyc.58.6.539.","Mundo E","Arch Gen Psychiatry","2001","2001/06/29","","","10.1001/archpsyc.58.6.539"
"11525423","Serotonergic pathway genes and subtypes of alcoholism: association studies","Parsian A, Cloninger CR.","Psychiatr Genet. 2001 Jun;11(2):89-94. doi: 10.1097/00041444-200106000-00006.","Parsian A","Psychiatr Genet","2001","2001/08/30","","","10.1097/00041444-200106000-00006"
"11543734","Factors affecting fluvoxamine antidepressant activity: influence of pindolol and 5-HTTLPR in delusional and nondelusional depression","Zanardi R, Serretti A, Rossini D, Franchini L, Cusin C, Lattuada E, Dotoli D, Smeraldi E.","Biol Psychiatry. 2001 Sep 1;50(5):323-30. doi: 10.1016/s0006-3223(01)01118-0.","Zanardi R","Biol Psychiatry","2001","2001/09/07","","","10.1016/s0006-3223(01)01118-0"
"11691690","Occupancy of serotonin transporters by paroxetine and citalopram during treatment of depression: a [(11)C]DASB PET imaging study","Meyer JH, Wilson AA, Ginovart N, Goulding V, Hussey D, Hood K, Houle S.","Am J Psychiatry. 2001 Nov;158(11):1843-9. doi: 10.1176/appi.ajp.158.11.1843.","Meyer JH","Am J Psychiatry","2001","2001/11/03","","","10.1176/appi.ajp.158.11.1843"
"12476327","Association study of the serotonin transporter promoter polymorphism and symptomatology and antidepressant response in major depressive disorders","Yu YW, Tsai SJ, Chen TJ, Lin CH, Hong CJ.","Mol Psychiatry. 2002;7(10):1115-9. doi: 10.1038/sj.mp.4001141.","Yu YW","Mol Psychiatry","2002","2002/12/12","","","10.1038/sj.mp.4001141"
"11920857","Correlation between serotonin uptake in human blood platelets with the 44-bp polymorphism and the 17-bp variable number of tandem repeat of the serotonin transporter","Kaiser R, Müller-Oerlinghausen B, Filler D, Tremblay PB, Berghöfer A, Roots I, Brockmöller J.","Am J Med Genet. 2002 Apr 8;114(3):323-8. doi: 10.1002/ajmg.10119.","Kaiser R","Am J Med Genet","2002","2002/03/29","","","10.1002/ajmg.10119"
"11983186","Initial conditions of serotonin transporter kinetics and genotype: influence on SSRI treatment trial outcome","Rausch JL, Johnson ME, Fei YJ, Li JQ, Shendarkar N, Hobby HM, Ganapathy V, Leibach FH.","Biol Psychiatry. 2002 May 1;51(9):723-32. doi: 10.1016/s0006-3223(01)01283-5.","Rausch JL","Biol Psychiatry","2002","2002/05/02","","","10.1016/s0006-3223(01)01283-5"
"12068552","[Allele polymorphism of the serotonin transporter gene and clinical heterogeneity of depressive disorders]","Golimbet VE, Alfimova MV, Shcherbatykh TV, Rogaev EI.","Genetika. 2002 May;38(5):671-7.","Golimbet VE","Genetika","2002","2002/06/19","","",""
"12111622","Absence of association of the serotonin transporter gene polymorphism with the mentally healthy subset of fibromyalgia patients","Gursoy S.","Clin Rheumatol. 2002 Jun;21(3):194-7. doi: 10.1007/s10067-002-8284-5.","Gursoy S","Clin Rheumatol","2002","2002/07/12","","","10.1007/s10067-002-8284-5"
"12478878","Receptor and transporter imaging studies in schizophrenia, depression, bulimia and Tourette's disorder--implications for psychopharmacology","Kasper S, Tauscher J, Willeit M, Stamenkovic M, Neumeister A, Küfferle B, Barnas C, Stastny J, Praschak-Rieder N, Pezawas L, de Zwaan M, Quiner S, Pirker W, Asenbaum S, Podreka I, Brücke T.","World J Biol Psychiatry. 2002 Jul;3(3):133-46. doi: 10.3109/15622970209150614.","Kasper S","World J Biol Psychiatry","2002","2002/12/14","","","10.3109/15622970209150614"
"22034202","Neurogenetics of emotional reactivity to stress in animals","Chaouloff F.","Dialogues Clin Neurosci. 2002 Dec;4(4):368-76. doi: 10.31887/DCNS.2002.4.4/fchaouloff.","Chaouloff F","Dialogues Clin Neurosci","2002","2011/10/29","PMC3181699","","10.31887/DCNS.2002.4.4/fchaouloff"
"12757893","Novel variants of murine serotonin transporter mRNA and the promoter activity of its upstream site","Sakai K, Hasegawa C, Okura M, Morikawa O, Ueyama T, Shirai Y, Sakai N, Saito N.","Neurosci Lett. 2003 May 22;342(3):175-8. doi: 10.1016/s0304-3940(03)00292-1.","Sakai K","Neurosci Lett","2003","2003/05/22","","","10.1016/s0304-3940(03)00292-1"
"12872203","No Influence of a functional polymorphism within the serotonin transporter gene on partial sleep deprivation in major depression","Baghai TC, Schule C, Zwanzger P, Zill P, Ella R, Eser D, Deiml T, Minov C, Rupprecht R, Bondy B.","World J Biol Psychiatry. 2003 Jul;4(3):111-4. doi: 10.1080/15622970310029903.","Baghai TC","World J Biol Psychiatry","2003","2003/07/23","","","10.1080/15622970310029903"
"12877392","Deliberate self-harm is associated with allelic variation in the tryptophan hydroxylase gene (TPH A779C), but not with polymorphisms in five other serotonergic genes","Pooley EC, Houston K, Hawton K, Harrison PJ.","Psychol Med. 2003 Jul;33(5):775-83. doi: 10.1017/s0033291703007463.","Pooley EC","Psychol Med","2003","2003/07/25","","","10.1017/s0033291703007463"
"12869766","Influence of life stress on depression: moderation by a polymorphism in the 5-HTT gene","Caspi A, Sugden K, Moffitt TE, Taylor A, Craig IW, Harrington H, McClay J, Mill J, Martin J, Braithwaite A, Poulton R.","Science. 2003 Jul 18;301(5631):386-9. doi: 10.1126/science.1083968.","Caspi A","Science","2003","2003/07/19","","","10.1126/science.1083968"
"12849930","Genetics of the serotonergic system in suicidal behavior","Arango V, Huang YY, Underwood MD, Mann JJ.","J Psychiatr Res. 2003 Sep-Oct;37(5):375-86. doi: 10.1016/s0022-3956(03)00048-7.","Arango V","J Psychiatr Res","2003","2003/07/10","","","10.1016/s0022-3956(03)00048-7"
"14499307","Strain differences in the distribution of dopamine transporter sites in rat brain","Jiao X, Paré WP, Tejani-Butt S.","Prog Neuropsychopharmacol Biol Psychiatry. 2003 Sep;27(6):913-9. doi: 10.1016/S0278-5846(03)00150-7.","Jiao X","Prog Neuropsychopharmacol Biol Psychiatry","2003","2003/09/23","","","10.1016/S0278-5846(03)00150-7"
"14622181","Sex hormone-dependent desensitization of 5-HT1A autoreceptors in knockout mice deficient in the 5-HT transporter","Bouali S, Evrard A, Chastanet M, Lesch KP, Hamon M, Adrien J.","Eur J Neurosci. 2003 Oct;18(8):2203-12. doi: 10.1046/j.1460-9568.2003.02960.x.","Bouali S","Eur J Neurosci","2003","2003/11/19","","","10.1046/j.1460-9568.2003.02960.x"
"14593433","A polymorphism (5-HTTLPR) in the serotonin transporter promoter gene is associated with DSM-IV depression subtypes in seasonal affective disorder","Willeit M, Praschak-Rieder N, Neumeister A, Zill P, Leisch F, Stastny J, Hilger E, Thierry N, Konstantinidis A, Winkler D, Fuchs K, Sieghart W, Aschauer H, Ackenheil M, Bondy B, Kasper S.","Mol Psychiatry. 2003 Nov;8(11):942-6. doi: 10.1038/sj.mp.4001392.","Willeit M","Mol Psychiatry","2003","2003/11/01","","","10.1038/sj.mp.4001392"
"15211560","Association of serotonin transporter promoter gene polymorphism with violence: relation with personality disorders, impulsivity, and childhood ADHD psychopathology","Retz W, Retz-Junginger P, Supprian T, Thome J, Rösler M.","Behav Sci Law. 2004;22(3):415-25. doi: 10.1002/bsl.589.","Retz W","Behav Sci Law","2004","2004/06/24","","","10.1002/bsl.589"
"16529167","[A search for psychobiological determinants of anxiety disorders]","Hajduk A.","Ann Acad Med Stetin. 2004;50(2):65-75.","Hajduk A","Ann Acad Med Stetin","2004","2006/03/15","","",""
"15091312","Relationship between serotonin transporter gene polymorphisms and platelet serotonin transporter sites among African-American cocaine-dependent individuals and healthy volunteers","Patkar AA, Berrettini WH, Mannelli P, Gopalakrishnan R, Hoehe MR, Bilal L, Weinstein S, Vergare MJ.","Psychiatr Genet. 2004 Mar;14(1):25-32. doi: 10.1097/00041444-200403000-00004.","Patkar AA","Psychiatr Genet","2004","2004/04/20","","","10.1097/00041444-200403000-00004"
"15048639","Serotonin transporter polymorphism and depressive-related symptoms in schizophrenia","Golimbet VE, Alfimova MV, Shchebatykh TV, Abramova LI, Kaleda VG, Rogaev EI.","Am J Med Genet B Neuropsychiatr Genet. 2004 Apr 1;126B(1):1-7. doi: 10.1002/ajmg.b.20135.","Golimbet VE","Am J Med Genet B Neuropsychiatr Genet","2004","2004/03/30","","","10.1002/ajmg.b.20135"
"15148564","Pharmacogenetic insights to monoaminergic dysfunction in alcohol dependence","Heinz A, Goldman D, Gallinat J, Schumann G, Puls I.","Psychopharmacology (Berl). 2004 Aug;174(4):561-70. doi: 10.1007/s00213-004-1903-x. Epub 2004 May 18.","Heinz A","Psychopharmacology (Berl)","2004","2004/05/19","","","10.1007/s00213-004-1903-x"
"15337646","Prediction of antidepressant response to milnacipran by norepinephrine transporter gene polymorphisms","Yoshida K, Takahashi H, Higuchi H, Kamata M, Ito K, Sato K, Naito S, Shimizu T, Itoh K, Inoue K, Suzuki T, Nemeroff CB.","Am J Psychiatry. 2004 Sep;161(9):1575-80. doi: 10.1176/appi.ajp.161.9.1575.","Yoshida K","Am J Psychiatry","2004","2004/09/01","","","10.1176/appi.ajp.161.9.1575"
"15583118","Brain serotonin transporter binding potential measured with carbon 11-labeled DASB positron emission tomography: effects of major depressive episodes and severity of dysfunctional attitudes","Meyer JH, Houle S, Sagrati S, Carella A, Hussey DF, Ginovart N, Goulding V, Kennedy J, Wilson AA.","Arch Gen Psychiatry. 2004 Dec;61(12):1271-9. doi: 10.1001/archpsyc.61.12.1271.","Meyer JH","Arch Gen Psychiatry","2004","2004/12/08","","","10.1001/archpsyc.61.12.1271"
"15842033","The relationship between stressful life events, the serotonin transporter (5-HTTLPR) genotype and major depression","Gillespie NA, Whitfield JB, Williams B, Heath AC, Martin NG.","Psychol Med. 2005 Jan;35(1):101-11. doi: 10.1017/s0033291704002727.","Gillespie NA","Psychol Med","2005","2005/04/22","","","10.1017/s0033291704002727"
"15539550","Inhibition of the serotonin (5-hydroxytryptamine) transporter reduces bone accrual during growth","Warden SJ, Robling AG, Sanders MS, Bliziotes MM, Turner CH.","Endocrinology. 2005 Feb;146(2):685-93. doi: 10.1210/en.2004-1259. Epub 2004 Nov 11.","Warden SJ","Endocrinology","2005","2004/11/13","","","10.1210/en.2004-1259"
"15322730","Evidence of a role for the 5-HTTLPR genotype in the modulation of motor response to antidepressant treatment","Putzhammer A, Schoeler A, Rohrmeier T, Sand P, Hajak G, Eichhammer P.","Psychopharmacology (Berl). 2005 Mar;178(2-3):303-8. doi: 10.1007/s00213-004-1995-3. Epub 2004 Aug 18.","Putzhammer A","Psychopharmacology (Berl)","2005","2004/08/24","","","10.1007/s00213-004-1995-3"
"15365683","Phenotypic assessment of galanin overexpressing and galanin receptor R1 knockout mice in the tail suspension test for depression-related behavior","Holmes A, Li Q, Koenig EA, Gold E, Stephenson D, Yang RJ, Dreiling J, Sullivan T, Crawley JN.","Psychopharmacology (Berl). 2005 Mar;178(2-3):276-85. doi: 10.1007/s00213-004-1997-1. Epub 2004 Sep 10.","Holmes A","Psychopharmacology (Berl)","2005","2004/09/15","","","10.1007/s00213-004-1997-1"
"15812265","Controlled clinical comparison of paroxetine and fluvoxamine considering the serotonin transporter promoter polymorphism","Kato M, Ikenaga Y, Wakeno M, Okugawa G, Nobuhara K, Fukuda T, Fukuda K, Azuma J, Kinoshita T.","Int Clin Psychopharmacol. 2005 May;20(3):151-6. doi: 10.1097/00004850-200505000-00005.","Kato M","Int Clin Psychopharmacol","2005","2005/04/07","","","10.1097/00004850-200505000-00005"
"15850737","Frontal and limbic metabolic differences in subjects selected according to genetic variation of the SLC6A4 gene polymorphism","Graff-Guerrero A, De la Fuente-Sandoval C, Camarena B, Gómez-Martin D, Apiquián R, Fresán A, Aguilar A, Méndez-Núñez JC, Escalona-Huerta C, Drucker-Colín R, Nicolini H.","Neuroimage. 2005 May 1;25(4):1197-204. doi: 10.1016/j.neuroimage.2004.12.020.","Graff-Guerrero A","Neuroimage","2005","2005/04/27","","","10.1016/j.neuroimage.2004.12.020"
"15867106","The interaction of stressful life events and a serotonin transporter polymorphism in the prediction of episodes of major depression: a replication","Kendler KS, Kuhn JW, Vittum J, Prescott CA, Riley B.","Arch Gen Psychiatry. 2005 May;62(5):529-35. doi: 10.1001/archpsyc.62.5.529.","Kendler KS","Arch Gen Psychiatry","2005","2005/05/04","","","10.1001/archpsyc.62.5.529"
"15877306","Genetics and genomics of depression","Hamet P, Tremblay J.","Metabolism. 2005 May;54(5 Suppl 1):10-5. doi: 10.1016/j.metabol.2005.01.006.","Hamet P","Metabolism","2005","2005/05/07","","","10.1016/j.metabol.2005.01.006"
"15995945","Allelic heterogeneity at the serotonin transporter locus (SLC6A4) confers susceptibility to autism and rigid-compulsive behaviors","Sutcliffe JS, Delahanty RJ, Prasad HC, McCauley JL, Han Q, Jiang L, Li C, Folstein SE, Blakely RD.","Am J Hum Genet. 2005 Aug;77(2):265-79. doi: 10.1086/432648. Epub 2005 Jul 1.","Sutcliffe JS","Am J Hum Genet","2005","2005/07/05","PMC1224529","","10.1086/432648"
"16091117","Serotonin transporter gene polymorphism (5-HTTLPR) in patients with recurrent aphthous stomatitis","Victoria JM, Correia-Silva Jde F, Pimenta FJ, Kalapothakis E, Gomez RS.","J Oral Pathol Med. 2005 Sep;34(8):494-7. doi: 10.1111/j.1600-0714.2005.00344.x.","Victoria JM","J Oral Pathol Med","2005","2005/08/11","","","10.1111/j.1600-0714.2005.00344.x"
"16023897","Female, but not male, serotonin reuptake transporter (5-HTT) knockout mice exhibit bladder instability","Cornelissen LL, Brooks DP, Wibberley A.","Auton Neurosci. 2005 Oct 30;122(1-2):107-10. doi: 10.1016/j.autneu.2005.06.005. Epub 2005 Jul 14.","Cornelissen LL","Auton Neurosci","2005","2005/07/19","","","10.1016/j.autneu.2005.06.005"
"16026765","Effects of tryptophan depletion on the serotonin transporter in healthy humans","Praschak-Rieder N, Wilson AA, Hussey D, Carella A, Wei C, Ginovart N, Schwarz MJ, Zach J, Houle S, Meyer JH.","Biol Psychiatry. 2005 Nov 15;58(10):825-30. doi: 10.1016/j.biopsych.2005.04.038. Epub 2005 Jul 18.","Praschak-Rieder N","Biol Psychiatry","2005","2005/07/20","","","10.1016/j.biopsych.2005.04.038"
"16288736","Alcohol dependence and gene x environment interaction in emotion regulation: Is serotonin the link?","Lesch KP.","Eur J Pharmacol. 2005 Dec 5;526(1-3):113-24. doi: 10.1016/j.ejphar.2005.09.027. Epub 2005 Nov 8.","Lesch KP","Eur J Pharmacol","2005","2005/11/18","","","10.1016/j.ejphar.2005.09.027"
"16125146","STin2 variant and family history of suicide as significant predictors of suicide completion in major depression","Lopez de Lara C, Dumais A, Rouleau G, Lesage A, Dumont M, Chawky N, Alda M, Benkelfat C, Turecki G.","Biol Psychiatry. 2006 Jan 15;59(2):114-20. doi: 10.1016/j.biopsych.2005.06.021. Epub 2005 Aug 25.","Lopez de Lara C","Biol Psychiatry","2006","2005/08/30","","","10.1016/j.biopsych.2005.06.021"
"16154547","Altered serotonin 1A binding in major depression: a [carbonyl-C-11]WAY100635 positron emission tomography study","Parsey RV, Oquendo MA, Ogden RT, Olvet DM, Simpson N, Huang YY, Van Heertum RL, Arango V, Mann JJ.","Biol Psychiatry. 2006 Jan 15;59(2):106-13. doi: 10.1016/j.biopsych.2005.06.016. Epub 2005 Sep 9.","Parsey RV","Biol Psychiatry","2006","2005/09/13","","","10.1016/j.biopsych.2005.06.016"
"16154545","Social adversity, the serotonin transporter (5-HTTLPR) polymorphism and major depressive disorder","Surtees PG, Wainwright NW, Willis-Owen SA, Luben R, Day NE, Flint J.","Biol Psychiatry. 2006 Feb 1;59(3):224-9. doi: 10.1016/j.biopsych.2005.07.014. Epub 2005 Sep 9.","Surtees PG","Biol Psychiatry","2006","2005/09/13","","","10.1016/j.biopsych.2005.07.014"
"16476009","Serotonin transporter mRNA expression is decreased by lamivudine and ribavirin and increased by interferon in immune cells","Tsao CW, Lin YS, Cheng JT, Chang WW, Chen CL, Wu SR, Fan CW, Lo HY.","Scand J Immunol. 2006 Feb;63(2):106-15. doi: 10.1111/j.1365-3083.2005.01715.x.","Tsao CW","Scand J Immunol","2006","2006/02/16","","","10.1111/j.1365-3083.2005.01715.x"
