PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"11256582","Serotonin transporter polymorphism and response to SSRIs in major depression and relevance to anxiety disorders and substance abuse","Weizman A, Weizman R.","Pharmacogenomics. 2000 Aug;1(3):335-41. doi: 10.1517/14622416.1.3.335.","Weizman A","Pharmacogenomics","2000","2001/03/21","","","10.1517/14622416.1.3.335"
"11204346","An association between a polymorphism of the tryptophan hydroxylase gene and aggression in schizophrenia and schizoaffective disorder","Nolan KA, Volavka J, Lachman HM, Saito T.","Psychiatr Genet. 2000 Sep;10(3):109-15. doi: 10.1097/00041444-200010030-00002.","Nolan KA","Psychiatr Genet","2000","2001/02/24","","","10.1097/00041444-200010030-00002"
"12083964","Polymorphism of the serotonin transporter: implications for the use of selective serotonin reuptake inhibitors","Lotrich FE, Pollock BG, Ferrell RE.","Am J Pharmacogenomics. 2001;1(3):153-64. doi: 10.2165/00129785-200101030-00001.","Lotrich FE","Am J Pharmacogenomics","2001","2002/06/27","","","10.2165/00129785-200101030-00001"
"11213357","Modulation of serotonin transporter function by interleukin-4","Mössner R, Daniel S, Schmitt A, Albert D, Lesch KP.","Life Sci. 2001 Jan 12;68(8):873-80. doi: 10.1016/s0024-3205(00)00992-9.","Mössner R","Life Sci","2001","2001/02/24","","","10.1016/s0024-3205(00)00992-9"
"11317229","Functional polymorphism within the promotor of the serotonin transporter gene is associated with severe hyperkinetic disorders","Seeger G, Schloss P, Schmidt MH.","Mol Psychiatry. 2001 Mar;6(2):235-8. doi: 10.1038/sj.mp.4000820.","Seeger G","Mol Psychiatry","2001","2001/04/24","","","10.1038/sj.mp.4000820"
"11270909","Fluvoxamine treatment of mixed anxiety and depression: evidence for serotonergically mediated anxiolysis","Rausch JL, Hobby HM, Shendarkar N, Johnson ME, Li J.","J Clin Psychopharmacol. 2001 Apr;21(2):139-42. doi: 10.1097/00004714-200104000-00004.","Rausch JL","J Clin Psychopharmacol","2001","2001/03/29","","","10.1097/00004714-200104000-00004"
"11443919","[Insertion-deletion polymorphism of the serotonin carrier gene and evaluation of neurotism as a temperament trait in patients with affective disorders and mentally healthy people]","Golimbet VE, Alfimova VM, Shcherbatykh TV, Abramova LI, Kaleda VG, Rogaev EI.","Mol Biol (Mosk). 2001 May-Jun;35(3):397-400.","Golimbet VE","Mol Biol (Mosk)","2001","2001/07/11","","",""
"11449399","Serotonin transporter gene polymorphisms are associated with anxiety-related personality traits in women","Melke J, Landén M, Baghei F, Rosmond R, Holm G, Björntorp P, Westberg L, Hellstrand M, Eriksson E.","Am J Med Genet. 2001 Jul 8;105(5):458-63. doi: 10.1002/ajmg.1434.","Melke J","Am J Med Genet","2001","2001/07/13","","","10.1002/ajmg.1434"
"11750794","Genetic perspectives on the serotonin transporter","Murphy DL, Li Q, Engel S, Wichems C, Andrews A, Lesch KP, Uhl G.","Brain Res Bull. 2001 Nov 15;56(5):487-94. doi: 10.1016/s0361-9230(01)00622-0.","Murphy DL","Brain Res Bull","2001","2001/12/26","","","10.1016/s0361-9230(01)00622-0"
"11803526","Serotonin transporter gene polymorphism and psychiatric disorders in NF1 patients","Bellivier F, Laplanche JL, Fournier G, Wolkenstein P.","Am J Med Genet. 2001 Dec 8;105(8):758-60. doi: 10.1002/ajmg.10037.","Bellivier F","Am J Med Genet","2001","2002/01/23","","","10.1002/ajmg.10037"
"12476327","Association study of the serotonin transporter promoter polymorphism and symptomatology and antidepressant response in major depressive disorders","Yu YW, Tsai SJ, Chen TJ, Lin CH, Hong CJ.","Mol Psychiatry. 2002;7(10):1115-9. doi: 10.1038/sj.mp.4001141.","Yu YW","Mol Psychiatry","2002","2002/12/12","","","10.1038/sj.mp.4001141"
"12068552","[Allele polymorphism of the serotonin transporter gene and clinical heterogeneity of depressive disorders]","Golimbet VE, Alfimova MV, Shcherbatykh TV, Rogaev EI.","Genetika. 2002 May;38(5):671-7.","Golimbet VE","Genetika","2002","2002/06/19","","",""
"12111622","Absence of association of the serotonin transporter gene polymorphism with the mentally healthy subset of fibromyalgia patients","Gursoy S.","Clin Rheumatol. 2002 Jun;21(3):194-7. doi: 10.1007/s10067-002-8284-5.","Gursoy S","Clin Rheumatol","2002","2002/07/12","","","10.1007/s10067-002-8284-5"
"12130784","Serotonin transporter genetic variation and the response of the human amygdala","Hariri AR, Mattay VS, Tessitore A, Kolachana B, Fera F, Goldman D, Egan MF, Weinberger DR.","Science. 2002 Jul 19;297(5580):400-3. doi: 10.1126/science.1071829.","Hariri AR","Science","2002","2002/07/20","","","10.1126/science.1071829"
"22033820","Are there anxious genes?","Morris-Rosendahl DJ.","Dialogues Clin Neurosci. 2002 Sep;4(3):251-60. doi: 10.31887/DCNS.2002.4.3/dmrosendahl.","Morris-Rosendahl DJ","Dialogues Clin Neurosci","2002","2011/10/29","PMC3181683","","10.31887/DCNS.2002.4.3/dmrosendahl"
"12446578","Exaggerated adrenomedullary response to immobilization in mice with targeted disruption of the serotonin transporter gene","Tjurmina OA, Armando I, Saavedra JM, Goldstein DS, Murphy DL.","Endocrinology. 2002 Dec;143(12):4520-6. doi: 10.1210/en.2002-220416.","Tjurmina OA","Endocrinology","2002","2002/11/26","","","10.1210/en.2002-220416"
"22034202","Neurogenetics of emotional reactivity to stress in animals","Chaouloff F.","Dialogues Clin Neurosci. 2002 Dec;4(4):368-76. doi: 10.31887/DCNS.2002.4.4/fchaouloff.","Chaouloff F","Dialogues Clin Neurosci","2002","2011/10/29","PMC3181699","","10.31887/DCNS.2002.4.4/fchaouloff"
"12556912","Association of D4 dopamine receptor gene and serotonin transporter promoter polymorphisms with infants' response to novelty","Lakatos K, Nemoda Z, Birkas E, Ronai Z, Kovacs E, Ney K, Toth I, Sasvari-Szekely M, Gervai J.","Mol Psychiatry. 2003 Jan;8(1):90-7. doi: 10.1038/sj.mp.4001212.","Lakatos K","Mol Psychiatry","2003","2003/01/31","","","10.1038/sj.mp.4001212"
"12687637","No association between genotype of the promoter region of serotonin transporter gene and serotonin transporter binding in human brain measured by PET","Shioe K, Ichimiya T, Suhara T, Takano A, Sudo Y, Yasuno F, Hirano M, Shinohara M, Kagami M, Okubo Y, Nankai M, Kanba S.","Synapse. 2003 Jun 15;48(4):184-8. doi: 10.1002/syn.10204.","Shioe K","Synapse","2003","2003/04/11","","","10.1002/syn.10204"
"12876460","Serotonin transporters are preserved in the neocortex of anxious Alzheimer's disease patients","Tsang SW, Lai MK, Francis PT, Wong PT, Spence I, Esiri MM, Keene J, Hope T, Chen CP.","Neuroreport. 2003 Jul 18;14(10):1297-300. doi: 10.1097/01.wnr.0000077546.91466.a8.","Tsang SW","Neuroreport","2003","2003/07/24","","","10.1097/01.wnr.0000077546.91466.a8"
"12911615","Glucocorticoid-regulated human serotonin transporter (5-HTT) expression is modulated by the 5-HTT gene-promotor-linked polymorphic region","Glatz K, Mössner R, Heils A, Lesch KP.","J Neurochem. 2003 Sep;86(5):1072-8. doi: 10.1046/j.1471-4159.2003.01944.x.","Glatz K","J Neurochem","2003","2003/08/13","","","10.1046/j.1471-4159.2003.01944.x"
"14593433","A polymorphism (5-HTTLPR) in the serotonin transporter promoter gene is associated with DSM-IV depression subtypes in seasonal affective disorder","Willeit M, Praschak-Rieder N, Neumeister A, Zill P, Leisch F, Stastny J, Hilger E, Thierry N, Konstantinidis A, Winkler D, Fuchs K, Sieghart W, Aschauer H, Ackenheil M, Bondy B, Kasper S.","Mol Psychiatry. 2003 Nov;8(11):942-6. doi: 10.1038/sj.mp.4001392.","Willeit M","Mol Psychiatry","2003","2003/11/01","","","10.1038/sj.mp.4001392"
"12968128","Mice lacking the serotonin transporter exhibit 5-HT(1A) receptor-mediated abnormalities in tests for anxiety-like behavior","Holmes A, Yang RJ, Lesch KP, Crawley JN, Murphy DL.","Neuropsychopharmacology. 2003 Dec;28(12):2077-88. doi: 10.1038/sj.npp.1300266.","Holmes A","Neuropsychopharmacology","2003","2003/09/12","","","10.1038/sj.npp.1300266"
"14653306","Functional neuroimaging of genetic variation in serotonergic neurotransmission","Hariri AR, Weinberger DR.","Genes Brain Behav. 2003 Dec;2(6):341-9. doi: 10.1046/j.1601-1848.2003.00048.x.","Hariri AR","Genes Brain Behav","2003","2003/12/05","","","10.1046/j.1601-1848.2003.00048.x"
"14653308","Abnormal anxiety-related behavior in serotonin transporter null mutant mice: the influence of genetic background","Holmes A, Lit Q, Murphy DL, Gold E, Crawley JN.","Genes Brain Behav. 2003 Dec;2(6):365-80. doi: 10.1046/j.1601-1848.2003.00050.x.","Holmes A","Genes Brain Behav","2003","2003/12/05","","","10.1046/j.1601-1848.2003.00050.x"
"15118354","No association of a functional polymorphism in the serotonin transporter gene promoter and anxiety-related personality traits","Lang UE, Bajbouj M, Wernicke C, Rommelspacher H, Danker-Hopfe H, Gallinat J.","Neuropsychobiology. 2004;49(4):182-4. doi: 10.1159/000077363.","Lang UE","Neuropsychobiology","2004","2004/05/01","","","10.1159/000077363"
"15211560","Association of serotonin transporter promoter gene polymorphism with violence: relation with personality disorders, impulsivity, and childhood ADHD psychopathology","Retz W, Retz-Junginger P, Supprian T, Thome J, Rösler M.","Behav Sci Law. 2004;22(3):415-25. doi: 10.1002/bsl.589.","Retz W","Behav Sci Law","2004","2004/06/24","","","10.1002/bsl.589"
"16529167","[A search for psychobiological determinants of anxiety disorders]","Hajduk A.","Ann Acad Med Stetin. 2004;50(2):65-75.","Hajduk A","Ann Acad Med Stetin","2004","2006/03/15","","",""
"14966478","A meta-analysis of the association between the serotonin transporter gene polymorphism (5-HTTLPR) and trait anxiety","Schinka JA, Busch RM, Robichaux-Keene N.","Mol Psychiatry. 2004 Feb;9(2):197-202. doi: 10.1038/sj.mp.4001405.","Schinka JA","Mol Psychiatry","2004","2004/02/18","","","10.1038/sj.mp.4001405"
"15048639","Serotonin transporter polymorphism and depressive-related symptoms in schizophrenia","Golimbet VE, Alfimova MV, Shchebatykh TV, Abramova LI, Kaleda VG, Rogaev EI.","Am J Med Genet B Neuropsychiatr Genet. 2004 Apr 1;126B(1):1-7. doi: 10.1002/ajmg.b.20135.","Golimbet VE","Am J Med Genet B Neuropsychiatr Genet","2004","2004/03/30","","","10.1002/ajmg.b.20135"
"15056483","Biochemical and pharmacological characterization of the serotonin transporter in human peripheral blood lymphocytes","Barkan T, Gurwitz D, Levy G, Weizman A, Rehavi M.","Eur Neuropsychopharmacol. 2004 May;14(3):237-43. doi: 10.1016/S0924-977X(03)00107-X.","Barkan T","Eur Neuropsychopharmacol","2004","2004/04/02","","","10.1016/S0924-977X(03)00107-X"
"15121647","Serotonin transporter occupancy of five selective serotonin reuptake inhibitors at different doses: an [11C]DASB positron emission tomography study","Meyer JH, Wilson AA, Sagrati S, Hussey D, Carella A, Potter WZ, Ginovart N, Spencer EP, Cheok A, Houle S.","Am J Psychiatry. 2004 May;161(5):826-35. doi: 10.1176/appi.ajp.161.5.826.","Meyer JH","Am J Psychiatry","2004","2004/05/04","","","10.1176/appi.ajp.161.5.826"
"15158011","Serotonin transporter polymorphism related to amygdala excitability and symptom severity in patients with social phobia","Furmark T, Tillfors M, Garpenstrand H, Marteinsdottir I, Långström B, Oreland L, Fredrikson M.","Neurosci Lett. 2004 May 27;362(3):189-92. doi: 10.1016/j.neulet.2004.02.070.","Furmark T","Neurosci Lett","2004","2004/05/26","","","10.1016/j.neulet.2004.02.070"
"15450911","Association studies of MAO-A, COMT, and 5-HTT genes polymorphisms in patients with anxiety disorders of the phobic spectrum","Samochowiec J, Hajduk A, Samochowiec A, Horodnicki J, Stepień G, Grzywacz A, Kucharska-Mazur J.","Psychiatry Res. 2004 Aug 30;128(1):21-6. doi: 10.1016/j.psychres.2004.05.012.","Samochowiec J","Psychiatry Res","2004","2004/09/29","","","10.1016/j.psychres.2004.05.012"
"15514160","Early-life blockade of the 5-HT transporter alters emotional behavior in adult mice","Ansorge MS, Zhou M, Lira A, Hen R, Gingrich JA.","Science. 2004 Oct 29;306(5697):879-81. doi: 10.1126/science.1101678.","Ansorge MS","Science","2004","2004/10/30","","","10.1126/science.1101678"
"15538601","SPECT imaging of serotonin transporter binding in patients with generalized anxiety disorder","Maron E, Kuikka JT, Ulst K, Tiihonen J, Vasar V, Shlik J.","Eur Arch Psychiatry Clin Neurosci. 2004 Dec;254(6):392-6. doi: 10.1007/s00406-004-0520-3. Epub 2004 Nov 12.","Maron E","Eur Arch Psychiatry Clin Neurosci","2004","2004/11/13","","","10.1007/s00406-004-0520-3"
"15722951","Serotonin transporter and tryptophan hydroxylase gene polymorphisms in Chinese patients with generalized anxiety disorder","You JS, Hu SY, Chen B, Zhang HG.","Psychiatr Genet. 2005 Mar;15(1):7-11. doi: 10.1097/00041444-200503000-00002.","You JS","Psychiatr Genet","2005","2005/02/22","","","10.1097/00041444-200503000-00002"
"15758168","A functional genetic variation of the serotonin (5-HT) transporter affects 5-HT1A receptor binding in humans","David SP, Murthy NV, Rabiner EA, Munafó MR, Johnstone EC, Jacob R, Walton RT, Grasby PM.","J Neurosci. 2005 Mar 9;25(10):2586-90. doi: 10.1523/JNEUROSCI.3769-04.2005.","David SP","J Neurosci","2005","2005/03/11","PMC1942077","NIHMS27310","10.1523/JNEUROSCI.3769-04.2005"
"15812265","Controlled clinical comparison of paroxetine and fluvoxamine considering the serotonin transporter promoter polymorphism","Kato M, Ikenaga Y, Wakeno M, Okugawa G, Nobuhara K, Fukuda T, Fukuda K, Azuma J, Kinoshita T.","Int Clin Psychopharmacol. 2005 May;20(3):151-6. doi: 10.1097/00004850-200505000-00005.","Kato M","Int Clin Psychopharmacol","2005","2005/04/07","","","10.1097/00004850-200505000-00005"
"15850737","Frontal and limbic metabolic differences in subjects selected according to genetic variation of the SLC6A4 gene polymorphism","Graff-Guerrero A, De la Fuente-Sandoval C, Camarena B, Gómez-Martin D, Apiquián R, Fresán A, Aguilar A, Méndez-Núñez JC, Escalona-Huerta C, Drucker-Colín R, Nicolini H.","Neuroimage. 2005 May 1;25(4):1197-204. doi: 10.1016/j.neuroimage.2004.12.020.","Graff-Guerrero A","Neuroimage","2005","2005/04/27","","","10.1016/j.neuroimage.2004.12.020"
"15867106","The interaction of stressful life events and a serotonin transporter polymorphism in the prediction of episodes of major depression: a replication","Kendler KS, Kuhn JW, Vittum J, Prescott CA, Riley B.","Arch Gen Psychiatry. 2005 May;62(5):529-35. doi: 10.1001/archpsyc.62.5.529.","Kendler KS","Arch Gen Psychiatry","2005","2005/05/04","","","10.1001/archpsyc.62.5.529"
"15877306","Genetics and genomics of depression","Hamet P, Tremblay J.","Metabolism. 2005 May;54(5 Suppl 1):10-5. doi: 10.1016/j.metabol.2005.01.006.","Hamet P","Metabolism","2005","2005/05/07","","","10.1016/j.metabol.2005.01.006"
"15862212","Association of human hippocampal neurochemistry, serotonin transporter genetic variation, and anxiety","Gallinat J, Ströhle A, Lang UE, Bajbouj M, Kalus P, Montag C, Seifert F, Wernicke C, Rommelspacher H, Rinneberg H, Schubert F.","Neuroimage. 2005 May 15;26(1):123-31. doi: 10.1016/j.neuroimage.2005.01.001. Epub 2005 Feb 25.","Gallinat J","Neuroimage","2005","2005/05/03","","","10.1016/j.neuroimage.2005.01.001"
"15995945","Allelic heterogeneity at the serotonin transporter locus (SLC6A4) confers susceptibility to autism and rigid-compulsive behaviors","Sutcliffe JS, Delahanty RJ, Prasad HC, McCauley JL, Han Q, Jiang L, Li C, Folstein SE, Blakely RD.","Am J Hum Genet. 2005 Aug;77(2):265-79. doi: 10.1086/432648. Epub 2005 Jul 1.","Sutcliffe JS","Am J Hum Genet","2005","2005/07/05","PMC1224529","","10.1086/432648"
"15852063","Association between 5-HTTLPR genotypes and persisting patterns of anxiety and alcohol use: results from a 10-year longitudinal study of adolescent mental health","Olsson CA, Byrnes GB, Lotfi-Miri M, Collins V, Williamson R, Patton C, Anney RJ.","Mol Psychiatry. 2005 Sep;10(9):868-76. doi: 10.1038/sj.mp.4001677.","Olsson CA","Mol Psychiatry","2005","2005/04/27","","","10.1038/sj.mp.4001677"
"16091117","Serotonin transporter gene polymorphism (5-HTTLPR) in patients with recurrent aphthous stomatitis","Victoria JM, Correia-Silva Jde F, Pimenta FJ, Kalapothakis E, Gomez RS.","J Oral Pathol Med. 2005 Sep;34(8):494-7. doi: 10.1111/j.1600-0714.2005.00344.x.","Victoria JM","J Oral Pathol Med","2005","2005/08/11","","","10.1111/j.1600-0714.2005.00344.x"
"16023897","Female, but not male, serotonin reuptake transporter (5-HTT) knockout mice exhibit bladder instability","Cornelissen LL, Brooks DP, Wibberley A.","Auton Neurosci. 2005 Oct 30;122(1-2):107-10. doi: 10.1016/j.autneu.2005.06.005. Epub 2005 Jul 14.","Cornelissen LL","Auton Neurosci","2005","2005/07/19","","","10.1016/j.autneu.2005.06.005"
"16034444","Antipanic efficacy of paroxetine and polymorphism within the promoter of the serotonin transporter gene","Perna G, Favaron E, Di Bella D, Bussi R, Bellodi L.","Neuropsychopharmacology. 2005 Dec;30(12):2230-5. doi: 10.1038/sj.npp.1300822.","Perna G","Neuropsychopharmacology","2005","2005/07/22","","","10.1038/sj.npp.1300822"
"16288736","Alcohol dependence and gene x environment interaction in emotion regulation: Is serotonin the link?","Lesch KP.","Eur J Pharmacol. 2005 Dec 5;526(1-3):113-24. doi: 10.1016/j.ejphar.2005.09.027. Epub 2005 Nov 8.","Lesch KP","Eur J Pharmacol","2005","2005/11/18","","","10.1016/j.ejphar.2005.09.027"
"16595858","Imaging genomics applied to anxiety, stress response, and resiliency","Xu K, Ernst M, Goldman D.","Neuroinformatics. 2006 Winter;4(1):51-64. doi: 10.1385/NI:4:1:51.","Xu K","Neuroinformatics","2006","2006/04/06","","","10.1385/NI:4:1:51"
"16869229","Serotonergic dysfunction: brain imaging and behavioral correlates","Wrase J, Reimold M, Puls I, Kienast T, Heinz A.","Cogn Affect Behav Neurosci. 2006 Mar;6(1):53-61. doi: 10.3758/cabn.6.1.53.","Wrase J","Cogn Affect Behav Neurosci","2006","2006/07/28","","","10.3758/cabn.6.1.53"
"16530463","Genetics of emotional regulation: the role of the serotonin transporter in neural function","Hariri AR, Holmes A.","Trends Cogn Sci. 2006 Apr;10(4):182-91. doi: 10.1016/j.tics.2006.02.011. Epub 2006 Mar 10.","Hariri AR","Trends Cogn Sci","2006","2006/03/15","","","10.1016/j.tics.2006.02.011"
"16542782","Insertion mutation at the C-terminus of the serotonin transporter disrupts brain serotonin function and emotion-related behaviors in mice","Zhao S, Edwards J, Carroll J, Wiedholz L, Millstein RA, Jaing C, Murphy DL, Lanthorn TH, Holmes A.","Neuroscience. 2006 Jun 19;140(1):321-34. doi: 10.1016/j.neuroscience.2006.01.049. Epub 2006 Mar 20.","Zhao S","Neuroscience","2006","2006/03/18","","","10.1016/j.neuroscience.2006.01.049"
"16875929","Serotonin transporter binding in bipolar disorder assessed using [11C]DASB and positron emission tomography","Cannon DM, Ichise M, Fromm SJ, Nugent AC, Rollis D, Gandhi SK, Klaver JM, Charney DS, Manji HK, Drevets WC.","Biol Psychiatry. 2006 Aug 1;60(3):207-17. doi: 10.1016/j.biopsych.2006.05.005.","Cannon DM","Biol Psychiatry","2006","2006/08/01","","","10.1016/j.biopsych.2006.05.005"
"16943551","Increased expression of the 5-HT transporter confers a low-anxiety phenotype linked to decreased 5-HT transmission","Jennings KA, Loder MK, Sheward WJ, Pei Q, Deacon RM, Benson MA, Olverman HJ, Hastie ND, Harmar AJ, Shen S, Sharp T.","J Neurosci. 2006 Aug 30;26(35):8955-64. doi: 10.1523/JNEUROSCI.5356-05.2006.","Jennings KA","J Neurosci","2006","2006/09/01","PMC6675351","","10.1523/JNEUROSCI.5356-05.2006"
"17017823","Association study of the 5-HTTLPR polymorphism and depression in 75-Year-Old nondemented subjects from the Vienna Transdanube Aging (VITA) study","Grünblatt E, Löffler C, Zehetmayer S, Jungwirth S, Tragl KH, Riederer P, Fischer P.","J Clin Psychiatry. 2006 Sep;67(9):1373-8. doi: 10.4088/jcp.v67n0907.","Grünblatt E","J Clin Psychiatry","2006","2006/10/05","","","10.4088/jcp.v67n0907"
"17074054","Dietary restriction changes behaviours in brain-derived neurotrophic factor heterozygous mice: role of serotonergic system","Koizumi H, Hashimoto K, Iyo M.","Eur J Neurosci. 2006 Oct;24(8):2335-44. doi: 10.1111/j.1460-9568.2006.05094.x.","Koizumi H","Eur J Neurosci","2006","2006/11/01","","","10.1111/j.1460-9568.2006.05094.x"
"17372541","[Heritability and candidate genes in tobacco use]","Hamdani N, Ades J, Gorwood P.","Encephale. 2006 Nov-Dec;32(6 Pt 1):966-75. doi: 10.1016/s0013-7006(06)76275-3.","Hamdani N","Encephale","2006","2007/03/21","","","10.1016/s0013-7006(06)76275-3"
"17079080","Family-based and case-control study of DRD2, DAT, 5HTT, COMT genes polymorphisms in alcohol dependence","Samochowiec J, Kucharska-Mazur J, Grzywacz A, Jabłoński M, Rommelspacher H, Samochowiec A, Sznabowicz M, Horodnicki J, Sagan L, Pełka-Wysiecka J.","Neurosci Lett. 2006 Dec 13;410(1):1-5. doi: 10.1016/j.neulet.2006.05.005. Epub 2006 Oct 31.","Samochowiec J","Neurosci Lett","2006","2006/11/03","","","10.1016/j.neulet.2006.05.005"
"17177116","Effects of mild early life stress on abnormal emotion-related behaviors in 5-HTT knockout mice","Carroll JC, Boyce-Rustay JM, Millstein R, Yang R, Wiedholz LM, Murphy DL, Holmes A.","Behav Genet. 2007 Jan;37(1):214-22. doi: 10.1007/s10519-006-9129-9.","Carroll JC","Behav Genet","2007","2006/12/21","","","10.1007/s10519-006-9129-9"
