PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"11353442","Family-based association study of serotonin transporter promoter in suicidal adolescents: no association with suicidality but possible role in violence traits","Zalsman G, Frisch A, Bromberg M, Gelernter J, Michaelovsky E, Campino A, Erlich Z, Tyano S, Apter A, Weizman A.","Am J Med Genet. 2001 Apr 8;105(3):239-45. doi: 10.1002/ajmg.1261.","Zalsman G","Am J Med Genet","2001","2001/05/16","","","10.1002/ajmg.1261"
"11311507","Serotonin-2A-receptor and -transporter polymorphisms: lack of association in patients with major depression","Minov C, Baghai TC, Schüle C, Zwanzger P, Schwarz MJ, Zill P, Rupprecht R, Bondy B.","Neurosci Lett. 2001 May 4;303(2):119-22. doi: 10.1016/s0304-3940(01)01704-9.","Minov C","Neurosci Lett","2001","2001/04/20","","","10.1016/s0304-3940(01)01704-9"
"11526473","Influence of tryptophan hydroxylase and serotonin transporter genes on fluvoxamine antidepressant activity","Serretti A, Zanardi R, Rossini D, Cusin C, Lilli R, Smeraldi E.","Mol Psychiatry. 2001 Sep;6(5):586-92. doi: 10.1038/sj.mp.4000876.","Serretti A","Mol Psychiatry","2001","2001/08/30","","","10.1038/sj.mp.4000876"
"11543734","Factors affecting fluvoxamine antidepressant activity: influence of pindolol and 5-HTTLPR in delusional and nondelusional depression","Zanardi R, Serretti A, Rossini D, Franchini L, Cusin C, Lattuada E, Dotoli D, Smeraldi E.","Biol Psychiatry. 2001 Sep 1;50(5):323-30. doi: 10.1016/s0006-3223(01)01118-0.","Zanardi R","Biol Psychiatry","2001","2001/09/07","","","10.1016/s0006-3223(01)01118-0"
"11702061","A polymorphism in the promoter of the serotonin transporter gene is not associated with suicidal behavior","Rujescu D, Giegling I, Sato T, Moeller HJ.","Psychiatr Genet. 2001 Sep;11(3):169-72. doi: 10.1097/00041444-200109000-00011.","Rujescu D","Psychiatr Genet","2001","2001/11/10","","","10.1097/00041444-200109000-00011"
"11729031","Influence of serotonin-transporter-linked promoter region polymorphism on platelet activation in geriatric depression","Whyte EM, Pollock BG, Wagner WR, Mulsant BH, Ferrell RE, Mazumdar S, Reynolds CF 3rd.","Am J Psychiatry. 2001 Dec;158(12):2074-6. doi: 10.1176/appi.ajp.158.12.2074.","Whyte EM","Am J Psychiatry","2001","2001/12/01","","","10.1176/appi.ajp.158.12.2074"
"12378120","Association analysis for serotonin transporter promoter polymorphism and auditory evoked potentials for major depression","Chen TJ, Yu YW, Chen MC, Tsai SJ, Hong CJ.","Neuropsychobiology. 2002;46(2):57-60. doi: 10.1159/000065412.","Chen TJ","Neuropsychobiology","2002","2002/10/16","","","10.1159/000065412"
"12476327","Association study of the serotonin transporter promoter polymorphism and symptomatology and antidepressant response in major depressive disorders","Yu YW, Tsai SJ, Chen TJ, Lin CH, Hong CJ.","Mol Psychiatry. 2002;7(10):1115-9. doi: 10.1038/sj.mp.4001141.","Yu YW","Mol Psychiatry","2002","2002/12/12","","","10.1038/sj.mp.4001141"
"12111622","Absence of association of the serotonin transporter gene polymorphism with the mentally healthy subset of fibromyalgia patients","Gursoy S.","Clin Rheumatol. 2002 Jun;21(3):194-7. doi: 10.1007/s10067-002-8284-5.","Gursoy S","Clin Rheumatol","2002","2002/07/12","","","10.1007/s10067-002-8284-5"
"12478878","Receptor and transporter imaging studies in schizophrenia, depression, bulimia and Tourette's disorder--implications for psychopharmacology","Kasper S, Tauscher J, Willeit M, Stamenkovic M, Neumeister A, Küfferle B, Barnas C, Stastny J, Praschak-Rieder N, Pezawas L, de Zwaan M, Quiner S, Pirker W, Asenbaum S, Podreka I, Brücke T.","World J Biol Psychiatry. 2002 Jul;3(3):133-46. doi: 10.3109/15622970209150614.","Kasper S","World J Biol Psychiatry","2002","2002/12/14","","","10.3109/15622970209150614"
"12759553","Depressed patients have higher body temperature: 5-HT transporter long promoter region effects","Rausch JL, Johnson ME, Corley KM, Hobby HM, Shendarkar N, Fei Y, Ganapathy V, Leibach FH.","Neuropsychobiology. 2003;47(3):120-7. doi: 10.1159/000070579.","Rausch JL","Neuropsychobiology","2003","2003/05/22","","","10.1159/000070579"
"12605095","Associations among the NEO Personality Inventory, Revised and the serotonin transporter gene-linked polymorphic region in elders: effects of depression and gender","Brummett BH, Siegler IC, McQuoid DR, Svenson IK, Marchuk DA, Steffens DC.","Psychiatr Genet. 2003 Mar;13(1):13-8. doi: 10.1097/00041444-200303000-00002.","Brummett BH","Psychiatr Genet","2003","2003/02/28","","","10.1097/00041444-200303000-00002"
"12872203","No Influence of a functional polymorphism within the serotonin transporter gene on partial sleep deprivation in major depression","Baghai TC, Schule C, Zwanzger P, Zill P, Ella R, Eser D, Deiml T, Minov C, Rupprecht R, Bondy B.","World J Biol Psychiatry. 2003 Jul;4(3):111-4. doi: 10.1080/15622970310029903.","Baghai TC","World J Biol Psychiatry","2003","2003/07/23","","","10.1080/15622970310029903"
"12877393","The serotonin transporter promoter repeat length polymorphism, seasonal affective disorder and seasonality","Johansson C, Willeit M, Levitan R, Partonen T, Smedh C, Del Favero J, Bel Kacem S, Praschak-Rieder N, Neumeister A, Masellis M, Basile V, Zill P, Bondy B, Paunio T, Kasper S, Van Broeckhoven C, Nilsson LG, Lam R, Schalling M, Adolfsson R.","Psychol Med. 2003 Jul;33(5):785-92. doi: 10.1017/s0033291703007372.","Johansson C","Psychol Med","2003","2003/07/25","","","10.1017/s0033291703007372"
"12849930","Genetics of the serotonergic system in suicidal behavior","Arango V, Huang YY, Underwood MD, Mann JJ.","J Psychiatr Res. 2003 Sep-Oct;37(5):375-86. doi: 10.1016/s0022-3956(03)00048-7.","Arango V","J Psychiatr Res","2003","2003/07/10","","","10.1016/s0022-3956(03)00048-7"
"14506400","Alleles of a functional serotonin transporter promoter polymorphism are associated with major depression in alcoholics","Nellissery M, Feinn RS, Covault J, Gelernter J, Anton RF, Pettinati H, Moak D, Mueller T, Kranzler HR.","Alcohol Clin Exp Res. 2003 Sep;27(9):1402-8. doi: 10.1097/01.ALC.0000085588.11073.BB.","Nellissery M","Alcohol Clin Exp Res","2003","2003/09/25","","","10.1097/01.ALC.0000085588.11073.BB"
"14531578","Sibling-based association analyses of the serotonin transporter polymorphism and internalizing behavior problems in children","Young SE, Smolen A, Stallings MC, Corley RP, Hewitt JK.","J Child Psychol Psychiatry. 2003 Oct;44(7):961-7. doi: 10.1111/1469-7610.00180.","Young SE","J Child Psychol Psychiatry","2003","2003/10/09","","","10.1111/1469-7610.00180"
"14593433","A polymorphism (5-HTTLPR) in the serotonin transporter promoter gene is associated with DSM-IV depression subtypes in seasonal affective disorder","Willeit M, Praschak-Rieder N, Neumeister A, Zill P, Leisch F, Stastny J, Hilger E, Thierry N, Konstantinidis A, Winkler D, Fuchs K, Sieghart W, Aschauer H, Ackenheil M, Bondy B, Kasper S.","Mol Psychiatry. 2003 Nov;8(11):942-6. doi: 10.1038/sj.mp.4001392.","Willeit M","Mol Psychiatry","2003","2003/11/01","","","10.1038/sj.mp.4001392"
"14612228","Is there an association between serotonin transporter gene polymorphism and family history of depression?","Joiner TE Jr, Johnson F, Soderstrom K, Brown JS.","J Affect Disord. 2003 Dec;77(3):273-5. doi: 10.1016/s0165-0327(02)00171-4.","Joiner TE Jr","J Affect Disord","2003","2003/11/13","","","10.1016/s0165-0327(02)00171-4"
"14624186","5-HTTLPR polymorphism of the serotonin transporter gene predicts non-remission in major depression patients treated with citalopram in a 12-weeks follow up study","Arias B, Catalán R, Gastó C, Gutiérrez B, Fañanás L.","J Clin Psychopharmacol. 2003 Dec;23(6):563-7. doi: 10.1097/01.jcp.0000095350.32154.73.","Arias B","J Clin Psychopharmacol","2003","2003/11/19","","","10.1097/01.jcp.0000095350.32154.73"
"14653305","The utility of the non-human primate; model for studying gene by environment interactions in behavioral research","Barr CS, Newman TK, Becker ML, Parker CC, Champoux M, Lesch KP, Goldman D, Suomi SJ, Higley JD.","Genes Brain Behav. 2003 Dec;2(6):336-40. doi: 10.1046/j.1601-1848.2003.00051.x.","Barr CS","Genes Brain Behav","2003","2003/12/05","","","10.1046/j.1601-1848.2003.00051.x"
"15211560","Association of serotonin transporter promoter gene polymorphism with violence: relation with personality disorders, impulsivity, and childhood ADHD psychopathology","Retz W, Retz-Junginger P, Supprian T, Thome J, Rösler M.","Behav Sci Law. 2004;22(3):415-25. doi: 10.1002/bsl.589.","Retz W","Behav Sci Law","2004","2004/06/24","","","10.1002/bsl.589"
"14744464","Serotonin transporter and GABAA alpha 6 receptor variants are associated with neuroticism","Sen S, Villafuerte S, Nesse R, Stoltenberg SF, Hopcian J, Gleiberman L, Weder A, Burmeister M.","Biol Psychiatry. 2004 Feb 1;55(3):244-9. doi: 10.1016/j.biopsych.2003.08.006.","Sen S","Biol Psychiatry","2004","2004/01/28","","","10.1016/j.biopsych.2003.08.006"
"14757594","Reduced hippocampal volumes associated with the long variant of the serotonin transporter polymorphism in major depression","Frodl T, Meisenzahl EM, Zill P, Baghai T, Rujescu D, Leinsinger G, Bottlender R, Schüle C, Zwanzger P, Engel RR, Rupprecht R, Bondy B, Reiser M, Möller HJ.","Arch Gen Psychiatry. 2004 Feb;61(2):177-83. doi: 10.1001/archpsyc.61.2.177.","Frodl T","Arch Gen Psychiatry","2004","2004/02/06","","","10.1001/archpsyc.61.2.177"
"15091312","Relationship between serotonin transporter gene polymorphisms and platelet serotonin transporter sites among African-American cocaine-dependent individuals and healthy volunteers","Patkar AA, Berrettini WH, Mannelli P, Gopalakrishnan R, Hoehe MR, Bilal L, Weinstein S, Vergare MJ.","Psychiatr Genet. 2004 Mar;14(1):25-32. doi: 10.1097/00041444-200403000-00004.","Patkar AA","Psychiatr Genet","2004","2004/04/20","","","10.1097/00041444-200403000-00004"
"15048639","Serotonin transporter polymorphism and depressive-related symptoms in schizophrenia","Golimbet VE, Alfimova MV, Shchebatykh TV, Abramova LI, Kaleda VG, Rogaev EI.","Am J Med Genet B Neuropsychiatr Genet. 2004 Apr 1;126B(1):1-7. doi: 10.1002/ajmg.b.20135.","Golimbet VE","Am J Med Genet B Neuropsychiatr Genet","2004","2004/03/30","","","10.1002/ajmg.b.20135"
"15037864","Influence of SERTPR and STin2 in the serotonin transporter gene on the effect of selective serotonin reuptake inhibitors in depression: a systematic review","Smits KM, Smits LJ, Schouten JS, Stelma FF, Nelemans P, Prins MH.","Mol Psychiatry. 2004 May;9(5):433-41. doi: 10.1038/sj.mp.4001488.","Smits KM","Mol Psychiatry","2004","2004/03/24","","","10.1038/sj.mp.4001488"
"15167699","Serotonin transporter promoter gene polymorphism and long-term outcome of antidepressant treatment","Lee MS, Lee HY, Lee HJ, Ryu SH.","Psychiatr Genet. 2004 Jun;14(2):111-5. doi: 10.1097/01.ypg.0000107928.32051.11.","Lee MS","Psychiatr Genet","2004","2004/05/29","","","10.1097/01.ypg.0000107928.32051.11"
"15312818","A case-control and family-based association study of the 5-HTTLPR in pediatric-onset depressive disorders","Nobile M, Cataldo MG, Giorda R, Battaglia M, Baschirotto C, Bellina M, Marino C, Molteni M.","Biol Psychiatry. 2004 Aug 15;56(4):292-5. doi: 10.1016/j.biopsych.2004.05.018.","Nobile M","Biol Psychiatry","2004","2004/08/18","","","10.1016/j.biopsych.2004.05.018"
"15302939","Sexual dichotomy of an interaction between early adversity and the serotonin transporter gene promoter variant in rhesus macaques","Barr CS, Newman TK, Schwandt M, Shannon C, Dvoskin RL, Lindell SG, Taubman J, Thompson B, Champoux M, Lesch KP, Goldman D, Suomi SJ, Higley JD.","Proc Natl Acad Sci U S A. 2004 Aug 17;101(33):12358-63. doi: 10.1073/pnas.0403763101. Epub 2004 Aug 9.","Barr CS","Proc Natl Acad Sci U S A","2004","2004/08/11","PMC514480","","10.1073/pnas.0403763101"
"15318024","Meta-analysis of serotonin transporter polymorphisms and affective disorders","Lotrich FE, Pollock BG.","Psychiatr Genet. 2004 Sep;14(3):121-9. doi: 10.1097/00041444-200409000-00001.","Lotrich FE","Psychiatr Genet","2004","2004/08/20","","","10.1097/00041444-200409000-00001"
"15458611","The C(-1019)G polymorphism of the 5-HT1A gene promoter and antidepressant response in mood disorders: preliminary findings","Serretti A, Artioli P, Lorenzi C, Pirovano A, Tubazio V, Zanardi R.","Int J Neuropsychopharmacol. 2004 Dec;7(4):453-60. doi: 10.1017/S1461145704004687. Epub 2004 Sep 30.","Serretti A","Int J Neuropsychopharmacol","2004","2004/10/02","","","10.1017/S1461145704004687"
"15563601","Social supports and serotonin transporter gene moderate depression in maltreated children","Kaufman J, Yang BZ, Douglas-Palumberi H, Houshyar S, Lipschitz D, Krystal JH, Gelernter J.","Proc Natl Acad Sci U S A. 2004 Dec 7;101(49):17316-21. doi: 10.1073/pnas.0404376101. Epub 2004 Nov 24.","Kaufman J","Proc Natl Acad Sci U S A","2004","2004/11/26","PMC534414","","10.1073/pnas.0404376101"
"15627807","Interaction between the tryptophan hydroxylase gene and the serotonin transporter gene in schizophrenia but not in bipolar or unipolar affective disorders","Chotai J, Serretti A, Lorenzi C.","Neuropsychobiology. 2005;51(1):3-9. doi: 10.1159/000082849.","Chotai J","Neuropsychobiology","2005","2005/01/04","","","10.1159/000082849"
"15842033","The relationship between stressful life events, the serotonin transporter (5-HTTLPR) genotype and major depression","Gillespie NA, Whitfield JB, Williams B, Heath AC, Martin NG.","Psychol Med. 2005 Jan;35(1):101-11. doi: 10.1017/s0033291704002727.","Gillespie NA","Psychol Med","2005","2005/04/22","","","10.1017/s0033291704002727"
"16166809","Allelic isoforms and decrease in serotonin transporter mRNA in lymphocytes of patients with major depression","Lima L, Mata S, Urbina M.","Neuroimmunomodulation. 2005;12(5):299-306. doi: 10.1159/000087108.","Lima L","Neuroimmunomodulation","2005","2005/09/17","","","10.1159/000087108"
"15691525","The power of sample size and homogenous sampling: association between the 5-HTTLPR serotonin transporter polymorphism and major depressive disorder","Hoefgen B, Schulze TG, Ohlraun S, von Widdern O, Höfels S, Gross M, Heidmann V, Kovalenko S, Eckermann A, Kölsch H, Metten M, Zobel A, Becker T, Nöthen MM, Propping P, Heun R, Maier W, Rietschel M.","Biol Psychiatry. 2005 Feb 1;57(3):247-51. doi: 10.1016/j.biopsych.2004.11.027.","Hoefgen B","Biol Psychiatry","2005","2005/02/05","","","10.1016/j.biopsych.2004.11.027"
"15699291","A susceptibility gene for affective disorders and the response of the human amygdala","Hariri AR, Drabant EM, Munoz KE, Kolachana BS, Mattay VS, Egan MF, Weinberger DR.","Arch Gen Psychiatry. 2005 Feb;62(2):146-52. doi: 10.1001/archpsyc.62.2.146.","Hariri AR","Arch Gen Psychiatry","2005","2005/02/09","","","10.1001/archpsyc.62.2.146"
"15322730","Evidence of a role for the 5-HTTLPR genotype in the modulation of motor response to antidepressant treatment","Putzhammer A, Schoeler A, Rohrmeier T, Sand P, Hajak G, Eichhammer P.","Psychopharmacology (Berl). 2005 Mar;178(2-3):303-8. doi: 10.1007/s00213-004-1995-3. Epub 2004 Aug 18.","Putzhammer A","Psychopharmacology (Berl)","2005","2004/08/24","","","10.1007/s00213-004-1995-3"
"15802092","Meta-analysis in psychiatric genetics","Levinson DF.","Curr Psychiatry Rep. 2005 Apr;7(2):143-51. doi: 10.1007/s11920-005-0012-9.","Levinson DF","Curr Psychiatry Rep","2005","2005/04/02","","","10.1007/s11920-005-0012-9"
"15856722","The socio-economic status of communities predicts variation in brain serotonergic responsivity","Manuck SB, Bleil ME, Petersen KL, Flory JD, Mann JJ, Ferrell RE, Muldoon MF.","Psychol Med. 2005 Apr;35(4):519-28. doi: 10.1017/s0033291704003757.","Manuck SB","Psychol Med","2005","2005/04/29","","","10.1017/s0033291704003757"
"15867107","Influence of serotonin transporter promoter region polymorphisms on hippocampal volumes in late-life depression","Taylor WD, Steffens DC, Payne ME, MacFall JR, Marchuk DA, Svenson IK, Krishnan KR.","Arch Gen Psychiatry. 2005 May;62(5):537-44. doi: 10.1001/archpsyc.62.5.537.","Taylor WD","Arch Gen Psychiatry","2005","2005/05/04","","","10.1001/archpsyc.62.5.537"
"15877307","Genes, stress, and depression","Wurtman RJ.","Metabolism. 2005 May;54(5 Suppl 1):16-9. doi: 10.1016/j.metabol.2005.01.007.","Wurtman RJ","Metabolism","2005","2005/05/07","","","10.1016/j.metabol.2005.01.007"
"15879594","Association of the serotonin transporter gene-linked polymorphic region (5-HTTLPR) genotype with depression in elderly persons after hip fracture","Lenze EJ, Munin MC, Ferrell RE, Pollock BG, Skidmore E, Lotrich F, Rogers JC, Quear T, Houck P, Reynolds CF 3rd.","Am J Geriatr Psychiatry. 2005 May;13(5):428-32. doi: 10.1176/appi.ajgp.13.5.428.","Lenze EJ","Am J Geriatr Psychiatry","2005","2005/05/10","","","10.1176/appi.ajgp.13.5.428"
"15880108","5-HTTLPR polymorphism impacts human cingulate-amygdala interactions: a genetic susceptibility mechanism for depression","Pezawas L, Meyer-Lindenberg A, Drabant EM, Verchinski BA, Munoz KE, Kolachana BS, Egan MF, Mattay VS, Hariri AR, Weinberger DR.","Nat Neurosci. 2005 Jun;8(6):828-34. doi: 10.1038/nn1463. Epub 2005 May 8.","Pezawas L","Nat Neurosci","2005","2005/05/10","","","10.1038/nn1463"
"16005136","Initial conditions of psychotropic drug response: studies of serotonin transporter long promoter region (5-HTTLPR), serotonin transporter efficiency, cytokine and kinase gene expression relevant to depression and antidepressant outcome","Rausch JL.","Prog Neuropsychopharmacol Biol Psychiatry. 2005 Jul;29(6):1046-61. doi: 10.1016/j.pnpbp.2005.03.011.","Rausch JL","Prog Neuropsychopharmacol Biol Psychiatry","2005","2005/07/12","","","10.1016/j.pnpbp.2005.03.011"
"15995945","Allelic heterogeneity at the serotonin transporter locus (SLC6A4) confers susceptibility to autism and rigid-compulsive behaviors","Sutcliffe JS, Delahanty RJ, Prasad HC, McCauley JL, Han Q, Jiang L, Li C, Folstein SE, Blakely RD.","Am J Hum Genet. 2005 Aug;77(2):265-79. doi: 10.1086/432648. Epub 2005 Jul 1.","Sutcliffe JS","Am J Hum Genet","2005","2005/07/05","PMC1224529","","10.1086/432648"
"16091117","Serotonin transporter gene polymorphism (5-HTTLPR) in patients with recurrent aphthous stomatitis","Victoria JM, Correia-Silva Jde F, Pimenta FJ, Kalapothakis E, Gomez RS.","J Oral Pathol Med. 2005 Sep;34(8):494-7. doi: 10.1111/j.1600-0714.2005.00344.x.","Victoria JM","J Oral Pathol Med","2005","2005/08/11","","","10.1111/j.1600-0714.2005.00344.x"
