PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"24972302","Epigenetic and epistatic interactions between serotonin transporter and brain-derived neurotrophic factor genetic polymorphism: insights in depression","Ignácio ZM, Réus GZ, Abelaira HM, Quevedo J.","Neuroscience. 2014 Sep 5;275:455-68. doi: 10.1016/j.neuroscience.2014.06.036. Epub 2014 Jun 24.","Ignácio ZM","Neuroscience","2014","2014/06/28","","","10.1016/j.neuroscience.2014.06.036"
"24815315","Endotoxaemia resulting from decreased serotonin tranporter (5-HTT) function: a reciprocal risk factor for depression and insulin resistance?","Pomytkin IA, Cline BH, Anthony DC, Steinbusch HW, Lesch KP, Strekalova T.","Behav Brain Res. 2015 Jan 1;276:111-7. doi: 10.1016/j.bbr.2014.04.049. Epub 2014 May 9.","Pomytkin IA","Behav Brain Res","2015","2014/05/13","","","10.1016/j.bbr.2014.04.049"
"26166439","Genetic Polymorphisms Might Predict Suicide Attempts in Mental Disorder Patients: A Systematic Review And Meta-Analysis","de Medeiros Alves V, Bezerra DG, de Andrade TG, de Melo Neto VL, Nardi AE.","CNS Neurol Disord Drug Targets. 2015;14(7):820-7. doi: 10.2174/1871527314666150713104619.","de Medeiros Alves V","CNS Neurol Disord Drug Targets","2015","2015/07/14","","","10.2174/1871527314666150713104619"
"26358483","[Vortioxetine: a new antidepressant to treat depressive episodes]","Colle R, Corruble E.","Encephale. 2016 Feb;42(1):48-58. doi: 10.1016/j.encep.2015.07.007. Epub 2015 Sep 8.","Colle R","Encephale","2016","2015/09/12","","","10.1016/j.encep.2015.07.007"
"29634095","VORTIOXETINE - THE NEW ANTIDEPRESSANT AGENT WITH PROCOGNITIVE PROPERTIES","Dziwota E, Olajossy M.","Acta Pol Pharm. 2016 Nov;73(6):1433-1437.","Dziwota E","Acta Pol Pharm","2016","2018/04/11","","",""
"28232871","Serotonin receptors in depression: from A to B","Nautiyal KM, Hen R.","F1000Res. 2017 Feb 9;6:123. doi: 10.12688/f1000research.9736.1. eCollection 2017.","Nautiyal KM","F1000Res","2017","2017/02/25","PMC5302148","","10.12688/f1000research.9736.1"
"29021832","Pharmacogenomics in the treatment of mood disorders: Strategies and Opportunities for personalized psychiatry","Amare AT, Schubert KO, Baune BT.","EPMA J. 2017 Sep 5;8(3):211-227. doi: 10.1007/s13167-017-0112-8. eCollection 2017 Sep.","Amare AT","EPMA J","2017","2017/10/13","PMC5607053","","10.1007/s13167-017-0112-8"
"29106784","Lucky gene 5-HTTLPR and postpartum depression: A systematic review","Yang Y, Fang M, Du X, Hu Z.","Neuro Endocrinol Lett. 2017 Oct;38(5):316-320.","Yang Y","Neuro Endocrinol Lett","2017","2017/11/07","","",""
"27793702","Clinical and biological predictors of response to electroconvulsive therapy (ECT): a review","Pinna M, Manchia M, Oppo R, Scano F, Pillai G, Loche AP, Salis P, Minnai GP.","Neurosci Lett. 2018 Mar 16;669:32-42. doi: 10.1016/j.neulet.2016.10.047. Epub 2016 Oct 25.","Pinna M","Neurosci Lett","2018","2016/10/30","","","10.1016/j.neulet.2016.10.047"
"29374800","Blood-based biomarkers predicting response to antidepressants","Busch Y, Menke A.","J Neural Transm (Vienna). 2019 Jan;126(1):47-63. doi: 10.1007/s00702-018-1844-x. Epub 2018 Jan 27.","Busch Y","J Neural Transm (Vienna)","2019","2018/01/29","","","10.1007/s00702-018-1844-x"
"32463584","PET technology for drug development in psychiatry","Arakawa R, Takano A, Halldin C.","Neuropsychopharmacol Rep. 2020 Jun;40(2):114-121. doi: 10.1002/npr2.12084. Epub 2020 May 28.","Arakawa R","Neuropsychopharmacol Rep","2020","2020/05/29","PMC7722687","","10.1002/npr2.12084"
"33584798","Genetic and Epigenetic Consequence of Early-Life Social Stress on Depression: Role of Serotonin-Associated Genes","Soga T, Teo CH, Parhar I.","Front Genet. 2021 Jan 22;11:601868. doi: 10.3389/fgene.2020.601868. eCollection 2020.","Soga T","Front Genet","2021","2021/02/15","PMC7874148","","10.3389/fgene.2020.601868"
"34183985","Neuro-dermatological association between psoriasis and depression: an immune-mediated inflammatory process validating skin-brain axis theory","Maqbool S, Ihtesham A, Langove MN, Jamal S, Jamal T, Safian HA.","AIMS Neurosci. 2021 Mar 10;8(3):340-354. doi: 10.3934/Neuroscience.2021018. eCollection 2021.","Maqbool S","AIMS Neurosci","2021","2021/06/29","PMC8222770","","10.3934/Neuroscience.2021018"
"34493397","Effects of Serotonin Transporter and Receptor Polymorphisms on Depression","López-Echeverri YP, Cardona-Londoño KJ, Garcia-Aguirre JF, Orrego-Cardozo M.","Rev Colomb Psiquiatr (Engl Ed). 2021 Sep 4:S0034-7450(21)00135-9. doi: 10.1016/j.rcp.2021.07.006. Online ahead of print.","López-Echeverri YP","Rev Colomb Psiquiatr (Engl Ed)","2021","2021/09/08","","","10.1016/j.rcp.2021.07.006"
"37453823","Effects of serotonin transporter and receptor polymorphisms on depression","López-Echeverri YP, Cardona-Londoño KJ, Garcia-Aguirre JF, Orrego-Cardozo M.","Rev Colomb Psiquiatr (Engl Ed). 2023 Apr-Jun;52(2):130-138. doi: 10.1016/j.rcpeng.2021.07.003. Epub 2023 Jul 13.","López-Echeverri YP","Rev Colomb Psiquiatr (Engl Ed)","2023","2023/07/15","","","10.1016/j.rcpeng.2021.07.003"
