PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"23062450","[Posttraumatic stress disorder (PTSD) as a consequence of the interaction between an individual genetic susceptibility, a traumatogenic event and a social context]","Auxéméry Y.","Encephale. 2012 Oct;38(5):373-80. doi: 10.1016/j.encep.2011.12.003. Epub 2012 Jan 24.","Auxéméry Y","Encephale","2012","2012/10/16","","","10.1016/j.encep.2011.12.003"
"23101739","The Generation R Study: a review of design, findings to date, and a study of the 5-HTTLPR by environmental interaction from fetal life onward","Tiemeier H, Velders FP, Szekely E, Roza SJ, Dieleman G, Jaddoe VW, Uitterlinden AG, White TJ, Bakermans-Kranenburg MJ, Hofman A, Van Ijzendoorn MH, Hudziak JJ, Verhulst FC.","J Am Acad Child Adolesc Psychiatry. 2012 Nov;51(11):1119-1135.e7. doi: 10.1016/j.jaac.2012.08.021. Epub 2012 Sep 30.","Tiemeier H","J Am Acad Child Adolesc Psychiatry","2012","2012/10/30","","","10.1016/j.jaac.2012.08.021"
"23269207","A new clinical evidence-based gene-environment interaction model of depression","Bagdy G, Juhasz G, Gonda X.","Neuropsychopharmacol Hung. 2012 Dec;14(4):213-20.","Bagdy G","Neuropsychopharmacol Hung","2012","2012/12/28","","",""
"24791568","[Pharmacogenetics and anxiety disorders: analysis of recent findings]","Amitai M, Kronenberg S, Cohen T, Frisch A, Weizman A, Apter A.","Harefuah. 2014 Mar-Apr;153(3-4):210-4, 236.","Amitai M","Harefuah","2014","2014/05/06","","",""
"24532229","Psychiatric comorbidity of chronic daily headache: focus on traumatic experiences in childhood, post-traumatic stress disorder and suicidality","Juang KD, Yang CY.","Curr Pain Headache Rep. 2014 Apr;18(4):405. doi: 10.1007/s11916-014-0405-8.","Juang KD","Curr Pain Headache Rep","2014","2014/02/18","","","10.1007/s11916-014-0405-8"
"25106036","Are there depression and anxiety genetic markers and mutations? A systematic review","Lacerda-Pinheiro SF, Pinheiro Junior RF, Pereira de Lima MA, Lima da Silva CG, Vieira dos Santos Mdo S, Teixeira Júnior AG, Lima de Oliveira PN, Ribeiro KD, Rolim-Neto ML, Bianco BA.","J Affect Disord. 2014 Oct;168:387-98. doi: 10.1016/j.jad.2014.07.016. Epub 2014 Jul 22.","Lacerda-Pinheiro SF","J Affect Disord","2014","2014/08/09","","","10.1016/j.jad.2014.07.016"
"25287955","Specific and common genes implicated across major mental disorders: a review of meta-analysis studies","Gatt JM, Burton KL, Williams LM, Schofield PR.","J Psychiatr Res. 2015 Jan;60:1-13. doi: 10.1016/j.jpsychires.2014.09.014. Epub 2014 Sep 28.","Gatt JM","J Psychiatr Res","2015","2014/10/08","","","10.1016/j.jpsychires.2014.09.014"
"25784645","The nature of individual differences in inhibited temperament and risk for psychiatric disease: A review and meta-analysis","Clauss JA, Avery SN, Blackford JU.","Prog Neurobiol. 2015 Apr;127-128:23-45. doi: 10.1016/j.pneurobio.2015.03.001. Epub 2015 Mar 14.","Clauss JA","Prog Neurobiol","2015","2015/03/19","PMC4516130","NIHMS677992","10.1016/j.pneurobio.2015.03.001"
"26519640","5-HTTLPR and gender differences in affective disorders: A systematic review","Gressier F, Calati R, Serretti A.","J Affect Disord. 2016 Jan 15;190:193-207. doi: 10.1016/j.jad.2015.09.027. Epub 2015 Oct 23.","Gressier F","J Affect Disord","2016","2015/11/01","","","10.1016/j.jad.2015.09.027"
"27161942","Serotonin's Complex Role in Alcoholism: Implications for Treatment and Future Research","Marcinkiewcz CA, Lowery-Gionta EG, Kash TL.","Alcohol Clin Exp Res. 2016 Jun;40(6):1192-201. doi: 10.1111/acer.13076. Epub 2016 May 10.","Marcinkiewcz CA","Alcohol Clin Exp Res","2016","2016/05/11","","","10.1111/acer.13076"
"27168345","Neurobiological markers predicting treatment response in anxiety disorders: A systematic review and implications for clinical application","Lueken U, Zierhut KC, Hahn T, Straube B, Kircher T, Reif A, Richter J, Hamm A, Wittchen HU, Domschke K.","Neurosci Biobehav Rev. 2016 Jul;66:143-62. doi: 10.1016/j.neubiorev.2016.04.005. Epub 2016 May 7.","Lueken U","Neurosci Biobehav Rev","2016","2016/05/12","","","10.1016/j.neubiorev.2016.04.005"
"28491024","The Serotonin Transporter and Early Life Stress: Translational Perspectives","Houwing DJ, Buwalda B, van der Zee EA, de Boer SF, Olivier JDA.","Front Cell Neurosci. 2017 Apr 26;11:117. doi: 10.3389/fncel.2017.00117. eCollection 2017.","Houwing DJ","Front Cell Neurosci","2017","2017/05/12","PMC5405142","","10.3389/fncel.2017.00117"
"28654193","Serotonin Transporter Gene Polymorphisms and Selective Serotonin Reuptake Inhibitor Tolerability: Review of Pharmacogenetic Evidence","Zhu J, Klein-Fedyshin M, Stevenson JM.","Pharmacotherapy. 2017 Sep;37(9):1089-1104. doi: 10.1002/phar.1978. Epub 2017 Aug 11.","Zhu J","Pharmacotherapy","2017","2017/06/28","","","10.1002/phar.1978"
"29368666","Tryptophan supplementation and serotonin function: genetic variations in behavioural effects","Gibson EL.","Proc Nutr Soc. 2018 May;77(2):174-188. doi: 10.1017/S0029665117004451. Epub 2018 Jan 25.","Gibson EL","Proc Nutr Soc","2018","2018/01/26","","","10.1017/S0029665117004451"
"29940236","Modulation of glucocorticoids by the serotonin transporter polymorphism: A narrative review","Klein Gunnewiek TM, Homberg JR, Kozicz T.","Neurosci Biobehav Rev. 2018 Sep;92:338-349. doi: 10.1016/j.neubiorev.2018.06.022. Epub 2018 Jun 22.","Klein Gunnewiek TM","Neurosci Biobehav Rev","2018","2018/06/26","","","10.1016/j.neubiorev.2018.06.022"
"36555276","Interplay between Serotonin, Immune Response, and Intestinal Dysbiosis in Inflammatory Bowel Disease","González Delgado S, Garza-Veloz I, Trejo-Vazquez F, Martinez-Fierro ML.","Int J Mol Sci. 2022 Dec 9;23(24):15632. doi: 10.3390/ijms232415632.","González Delgado S","Int J Mol Sci","2022","2022/12/23","PMC9779345","","10.3390/ijms232415632"
"37222241","The therapygenetics of anxiety disorders","Vashishtha S, Kloiber S, Zai G.","Psychiatr Genet. 2023 Aug 1;33(4):123-133. doi: 10.1097/YPG.0000000000000342. Epub 2023 May 3.","Vashishtha S","Psychiatr Genet","2023","2023/05/24","","","10.1097/YPG.0000000000000342"
