PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"17372541","[Heritability and candidate genes in tobacco use]","Hamdani N, Ades J, Gorwood P.","Encephale. 2006 Nov-Dec;32(6 Pt 1):966-75. doi: 10.1016/s0013-7006(06)76275-3.","Hamdani N","Encephale","2006","2007/03/21","","","10.1016/s0013-7006(06)76275-3"
"21204384","High-Speed Chronoamperometry to Study Kinetics and Mechanisms for Serotonin Clearance In Vivo","Daws LC, Toney GM.","In: Michael AC, Borland LM, editors. Electrochemical Methods for Neuroscience. Boca Raton (FL): CRC Press/Taylor & Francis; 2007. Chapter 5.","Daws LC","Electrochemical Methods for Neuroscience","2007","2007/01/01","","",""
"17726476","Long story short: the serotonin transporter in emotion regulation and social cognition","Canli T, Lesch KP.","Nat Neurosci. 2007 Sep;10(9):1103-9. doi: 10.1038/nn1964.","Canli T","Nat Neurosci","2007","2007/08/30","","","10.1038/nn1964"
"19018726","Pharmacogenetics of selective serotonin reuptake inhibitors in pediatric depression and anxiety","Kronenberg S, Frisch A, Rotberg B, Carmel M, Apter A, Weizman A.","Pharmacogenomics. 2008 Nov;9(11):1725-36. doi: 10.2217/14622416.9.11.1725.","Kronenberg S","Pharmacogenomics","2008","2008/11/21","","","10.2217/14622416.9.11.1725"
"19434367","Pharmacogenetics of anxiolytic drugs","Tiwari AK, Souza RP, Müller DJ.","J Neural Transm (Vienna). 2009 Jun;116(6):667-77. doi: 10.1007/s00702-009-0229-6. Epub 2009 May 12.","Tiwari AK","J Neural Transm (Vienna)","2009","2009/05/13","","","10.1007/s00702-009-0229-6"
"19438423","Genetic and non-genetic influences on the development of co-occurring alcohol problem use and internalizing symptomatology in adolescence: a review","Saraceno L, Munafó M, Heron J, Craddock N, van den Bree MB.","Addiction. 2009 Jul;104(7):1100-21. doi: 10.1111/j.1360-0443.2009.02571.x. Epub 2009 May 11.","Saraceno L","Addiction","2009","2009/05/15","","","10.1111/j.1360-0443.2009.02571.x"
"20150867","The serotonin transporter gene (5-HTT) variant and psychiatric disorders: review of current literature","Kuzelova H, Ptacek R, Macek M.","Neuro Endocrinol Lett. 2010;31(1):4-10.","Kuzelova H","Neuro Endocrinol Lett","2010","2010/02/13","","",""
"21047622","Looking on the bright side of serotonin transporter gene variation","Homberg JR, Lesch KP.","Biol Psychiatry. 2011 Mar 15;69(6):513-9. doi: 10.1016/j.biopsych.2010.09.024. Epub 2010 Nov 2.","Homberg JR","Biol Psychiatry","2011","2010/11/05","","","10.1016/j.biopsych.2010.09.024"
"21129431","Animal models of depression and anxiety: What do they tell us about human condition?","Neumann ID, Wegener G, Homberg JR, Cohen H, Slattery DA, Zohar J, Olivier JD, Mathé AA.","Prog Neuropsychopharmacol Biol Psychiatry. 2011 Aug 1;35(6):1357-75. doi: 10.1016/j.pnpbp.2010.11.028. Epub 2010 Dec 1.","Neumann ID","Prog Neuropsychopharmacol Biol Psychiatry","2011","2010/12/07","","","10.1016/j.pnpbp.2010.11.028"
"22681166","Genetics and personalized medicine in antidepressant treatment","Gvozdic K, Brandl EJ, Taylor DL, Müller DJ.","Curr Pharm Des. 2012;18(36):5853-78. doi: 10.2174/138161212803523617.","Gvozdic K","Curr Pharm Des","2012","2012/06/12","","","10.2174/138161212803523617"
"21994088","Genetic determinants of aggression and impulsivity in humans","Pavlov KA, Chistiakov DA, Chekhonin VP.","J Appl Genet. 2012 Feb;53(1):61-82. doi: 10.1007/s13353-011-0069-6. Epub 2011 Oct 13.","Pavlov KA","J Appl Genet","2012","2011/10/14","","","10.1007/s13353-011-0069-6"
"22218074","Neuroimaging markers of cellular function in major depressive disorder: implications for therapeutics, personalized medicine, and prevention","Meyer JH.","Clin Pharmacol Ther. 2012 Feb;91(2):201-14. doi: 10.1038/clpt.2011.285. Epub 2012 Jan 4.","Meyer JH","Clin Pharmacol Ther","2012","2012/01/06","","","10.1038/clpt.2011.285"
"23018753","Neurochemical imaging and depressive behaviours","Meyer JH.","Curr Top Behav Neurosci. 2013;14:101-34. doi: 10.1007/7854_2012_219.","Meyer JH","Curr Top Behav Neurosci","2013","2012/09/29","","","10.1007/7854_2012_219"
"25225016","Genetic factors in anxiety disorders","Domschke K, Maron E.","Mod Trends Pharmacopsychiatry. 2013;29:24-46. doi: 10.1159/000351932. Epub 2013 Sep 20.","Domschke K","Mod Trends Pharmacopsychiatry","2013","2014/09/17","","","10.1159/000351932"
"23547810","Serotonin (5-HT) in the regulation of depression-related emotionality: insight from 5-HT transporter and tryptophan hydroxylase-2 knockout mouse models","Araragi N, Lesch KP.","Curr Drug Targets. 2013 May 1;14(5):549-70. doi: 10.2174/1389450111314050005.","Araragi N","Curr Drug Targets","2013","2013/04/04","","","10.2174/1389450111314050005"
"25069243","[Childhood stress and depression]","Onoue T, Toda H, Nakai Y.","Nihon Shinkei Seishin Yakurigaku Zasshi. 2013 Jun;33(3):105-10.","Onoue T","Nihon Shinkei Seishin Yakurigaku Zasshi","2013","2014/07/30","","",""
"24631644","Controversies on the role of 5-HT(2C) receptors in the mechanisms of action of antidepressant drugs","Martin CB, Hamon M, Lanfumey L, Mongeau R.","Neurosci Biobehav Rev. 2014 May;42:208-23. doi: 10.1016/j.neubiorev.2014.03.001. Epub 2014 Mar 11.","Martin CB","Neurosci Biobehav Rev","2014","2014/03/18","","","10.1016/j.neubiorev.2014.03.001"
"29634095","VORTIOXETINE - THE NEW ANTIDEPRESSANT AGENT WITH PROCOGNITIVE PROPERTIES","Dziwota E, Olajossy M.","Acta Pol Pharm. 2016 Nov;73(6):1433-1437.","Dziwota E","Acta Pol Pharm","2016","2018/04/11","","",""
"28867940","Genetics of generalized anxiety disorder and related traits","Gottschalk MG, Domschke K.","Dialogues Clin Neurosci. 2017 Jun;19(2):159-168. doi: 10.31887/DCNS.2017.19.2/kdomschke.","Gottschalk MG","Dialogues Clin Neurosci","2017","2017/09/05","PMC5573560","","10.31887/DCNS.2017.19.2/kdomschke"
"33584798","Genetic and Epigenetic Consequence of Early-Life Social Stress on Depression: Role of Serotonin-Associated Genes","Soga T, Teo CH, Parhar I.","Front Genet. 2021 Jan 22;11:601868. doi: 10.3389/fgene.2020.601868. eCollection 2020.","Soga T","Front Genet","2021","2021/02/15","PMC7874148","","10.3389/fgene.2020.601868"
"37626553","The Role of Serotonin in Fear Learning and Memory: A Systematic Review of Human Studies","Tortora F, Hadipour AL, Battaglia S, Falzone A, Avenanti A, Vicario CM.","Brain Sci. 2023 Aug 12;13(8):1197. doi: 10.3390/brainsci13081197.","Tortora F","Brain Sci","2023","2023/08/26","PMC10452575","","10.3390/brainsci13081197"
